
# Surface 0 of 1 surfaces

# Curve title: "x*(log2(log2(y)))"

# IsoCurve 0, 20 points
# x y z type
8.9473684e+02 6.8421053e+02 2.8948908e+03 i
9.4736842e+02 6.8421053e+02 3.0651784e+03 i
1.0000000e+03 6.8421053e+02 3.2354661e+03 i

# IsoCurve 14, 20 points
# x y z type
0.0000000e+00 7.3684211e+02 0.0000000e+00 i
5.2631579e+01 7.3684211e+02 1.7114480e+02 i
1.0526316e+02 7.3684211e+02 3.4228960e+02 i
1.5789474e+02 7.3684211e+02 5.1343439e+02 i
2.1052632e+02 7.3684211e+02 6.8457919e+02 i
2.6315789e+02 7.3684211e+02 8.5572399e+02 i
3.1578947e+02 7.3684211e+02 1.0268688e+03 i
3.6842105e+02 7.3684211e+02 1.1980136e+03 i
4.2105263e+02 7.3684211e+02 1.3691584e+03 i
4.7368421e+02 7.3684211e+02 1.5403032e+03 i
5.2631579e+02 7.3684211e+02 1.7114480e+03 i
5.7894737e+02 7.3684211e+02 1.8825928e+03 i
6.3157895e+02 7.3684211e+02 2.0537376e+03 i
6.8421053e+02 7.3684211e+02 2.2248824e+03 i
7.3684211e+02 7.3684211e+02 2.3960272e+03 i
7.8947368e+02 7.3684211e+02 2.5671720e+03 i
8.4210526e+02 7.3684211e+02 2.7383168e+03 i
8.9473684e+02 7.3684211e+02 2.9094616e+03 i
9.4736842e+02 7.3684211e+02 3.0806064e+03 i
1.0000000e+03 7.3684211e+02 3.2517512e+03 i

# IsoCurve 15, 20 points
# x y z type
0.0000000e+00 7.8947368e+02 0.0000000e+00 i
5.2631579e+01 7.8947368e+02 1.7193414e+02 i
1.0526316e+02 7.8947368e+02 3.4386828e+02 i
1.5789474e+02 7.8947368e+02 5.1580242e+02 i
2.1052632e+02 7.8947368e+02 6.8773656e+02 i
2.6315789e+02 7.8947368e+02 8.5967070e+02 i
3.1578947e+02 7.8947368e+02 1.0316048e+03 i
3.6842105e+02 7.8947368e+02 1.2035390e+03 i
4.2105263e+02 7.8947368e+02 1.3754731e+03 i
4.7368421e+02 7.8947368e+02 1.5474073e+03 i
5.2631579e+02 7.8947368e+02 1.7193414e+03 i
5.7894737e+02 7.8947368e+02 1.8912755e+03 i
6.3157895e+02 7.8947368e+02 2.0632097e+03 i
6.8421053e+02 7.8947368e+02 2.2351438e+03 i
7.3684211e+02 7.8947368e+02 2.4070780e+03 i
7.8947368e+02 7.8947368e+02 2.5790121e+03 i
8.4210526e+02 7.8947368e+02 2.7509463e+03 i
8.9473684e+02 7.8947368e+02 2.9228804e+03 i
9.4736842e+02 7.8947368e+02 3.0948145e+03 i
1.0000000e+03 7.8947368e+02 3.2667487e+03 i

# IsoCurve 16, 20 points
# x y z type
0.0000000e+00 8.4210526e+02 0.0000000e+00 i
5.2631579e+01 8.4210526e+02 1.7266517e+02 i
1.0526316e+02 8.4210526e+02 3.4533033e+02 i
1.5789474e+02 8.4210526e+02 5.1799550e+02 i
2.1052632e+02 8.4210526e+02 6.9066067e+02 i
2.6315789e+02 8.4210526e+02 8.6332583e+02 i
3.1578947e+02 8.4210526e+02 1.0359910e+03 i
3.6842105e+02 8.4210526e+02 1.2086562e+03 i
4.2105263e+02 8.4210526e+02 1.3813213e+03 i
4.7368421e+02 8.4210526e+02 1.5539865e+03 i
5.2631579e+02 8.4210526e+02 1.7266517e+03 i
5.7894737e+02 8.4210526e+02 1.8993168e+03 i
6.3157895e+02 8.4210526e+02 2.0719820e+03 i
6.8421053e+02 8.4210526e+02 2.2446472e+03 i
7.3684211e+02 8.4210526e+02 2.4173123e+03 i
7.8947368e+02 8.4210526e+02 2.5899775e+03 i
8.4210526e+02 8.4210526e+02 2.7626427e+03 i
8.9473684e+02 8.4210526e+02 2.9353078e+03 i
9.4736842e+02 8.4210526e+02 3.1079730e+03 i
1.0000000e+03 8.4210526e+02 3.2806382e+03 i

# IsoCurve 17, 20 points
# x y z type
0.0000000e+00 8.9473684e+02 0.0000000e+00 i
5.2631579e+01 8.9473684e+02 1.7334551e+02 i
1.0526316e+02 8.9473684e+02 3.4669102e+02 i
1.5789474e+02 8.9473684e+02 5.2003652e+02 i
2.1052632e+02 8.9473684e+02 6.9338203e+02 i
2.6315789e+02 8.9473684e+02 8.6672754e+02 i
3.1578947e+02 8.9473684e+02 1.0400730e+03 i
3.6842105e+02 8.9473684e+02 1.2134186e+03 i
4.2105263e+02 8.9473684e+02 1.3867641e+03 i
4.7368421e+02 8.9473684e+02 1.5601096e+03 i
5.2631579e+02 8.9473684e+02 1.7334551e+03 i
5.7894737e+02 8.9473684e+02 1.9068006e+03 i
6.3157895e+02 8.9473684e+02 2.0801461e+03 i
6.8421053e+02 8.9473684e+02 2.2534916e+03 i
7.3684211e+02 8.9473684e+02 2.4268371e+03 i
7.8947368e+02 8.9473684e+02 2.6001826e+03 i
8.4210526e+02 8.9473684e+02 2.7735281e+03 i
8.9473684e+02 8.9473684e+02 2.9468736e+03 i
9.4736842e+02 8.9473684e+02 3.1202191e+03 i
1.0000000e+03 8.9473684e+02 3.2935647e+03 i

# IsoCurve 18, 20 points
# x y z type
0.0000000e+00 9.4736842e+02 0.0000000e+00 i
5.2631579e+01 9.4736842e+02 1.7398142e+02 i
1.0526316e+02 9.4736842e+02 3.4796283e+02 i
1.5789474e+02 9.4736842e+02 5.2194425e+02 i
2.1052632e+02 9.4736842e+02 6.9592566e+02 i
2.6315789e+02 9.4736842e+02 8.6990708e+02 i
3.1578947e+02 9.4736842e+02 1.0438885e+03 i
3.6842105e+02 9.4736842e+02 1.2178699e+03 i
4.2105263e+02 9.4736842e+02 1.3918513e+03 i
4.7368421e+02 9.4736842e+02 1.5658327e+03 i
5.2631579e+02 9.4736842e+02 1.7398142e+03 i
5.7894737e+02 9.4736842e+02 1.9137956e+03 i
6.3157895e+02 9.4736842e+02 2.0877770e+03 i
6.8421053e+02 9.4736842e+02 2.2617584e+03 i
7.3684211e+02 9.4736842e+02 2.4357398e+03 i
7.8947368e+02 9.4736842e+02 2.6097212e+03 i
8.4210526e+02 9.4736842e+02 2.7837027e+03 i
8.9473684e+02 9.4736842e+02 2.9576841e+03 i
9.4736842e+02 9.4736842e+02 3.1316655e+03 i
1.0000000e+03 9.4736842e+02 3.3056469e+03 i

# IsoCurve 19, 20 points
# x y z type
0.0000000e+00 1.0000000e+03 0.0000000e+00 i
5.2631579e+01 1.0000000e+03 1.7457807e+02 i
1.0526316e+02 1.0000000e+03 3.4915614e+02 i
1.5789474e+02 1.0000000e+03 5.2373421e+02 i
2.1052632e+02 1.0000000e+03 6.9831228e+02 i
2.6315789e+02 1.0000000e+03 8.7289035e+02 i
3.1578947e+02 1.0000000e+03 1.0474684e+03 i
3.6842105e+02 1.0000000e+03 1.2220465e+03 i
4.2105263e+02 1.0000000e+03 1.3966246e+03 i
4.7368421e+02 1.0000000e+03 1.5712026e+03 i
5.2631579e+02 1.0000000e+03 1.7457807e+03 i
5.7894737e+02 1.0000000e+03 1.9203588e+03 i
6.3157895e+02 1.0000000e+03 2.0949369e+03 i
6.8421053e+02 1.0000000e+03 2.2695149e+03 i
7.3684211e+02 1.0000000e+03 2.4440930e+03 i
7.8947368e+02 1.0000000e+03 2.6186711e+03 i
8.4210526e+02 1.0000000e+03 2.7932491e+03 i
8.9473684e+02 1.0000000e+03 2.9678272e+03 i
9.4736842e+02 1.0000000e+03 3.1424053e+03 i
1.0000000e+03 1.0000000e+03 3.3169833e+03 i

